,ID,光照强度,功率A,功率B,功率C,发电量,平均功率,板温,现场温度,电压A,电压B,电压C,电流A,电流B,电流C,转换效率,转换效率A,转换效率B,转换效率C,风向,风速
47,93,374,4633.61,4618.24,4711.28,9.854280031,4654.38,10.33,-5.4,661.0,656.0,658.0,7.01,7.04,7.16,41.66,41.48,41.34,42.17,270,1.7
48,94,375,4620.76,4645.95,4725.03,9.837433322999999,4663.91,10.31,-4.9,662.0,659.0,659.0,6.98,7.05,7.17,41.64,41.25,41.48,42.19,280,3.1
49,97,374,4601.22,4633.2,4699.2,9.801534641,4644.54,10.05,-5.0,663.0,660.0,660.0,6.94,7.02,7.12,41.62,41.23,41.51,42.11,278,2.2
50,99,373,4587.96,4633.61,4706.32,9.775180263,4642.63,9.74,-5.0,663.0,661.0,661.0,6.92,7.01,7.12,41.76,41.27,41.68,42.33,243,3.3
51,101,370,4634.37,4633.61,4693.1,9.831032516,4653.69,9.95,-4.7,663.0,661.0,661.0,6.99,7.01,7.1,42.16,41.99,41.98,42.52,270,2.7
52,105,362,4541.55,4581.6,4620.39,9.665020988,4581.18,9.64,-4.5,663.0,664.0,661.0,6.85,6.9,6.99,42.47,42.1,42.48,42.84,253,2.5
53,106,358,4501.77,4541.76,4560.6,9.595369521,4534.71,10.01,-4.7,663.0,664.0,660.0,6.79,6.84,6.91,42.45,42.15,42.52,42.7,268,2.2
54,113,341,4315.28,4335.92,4422.24,9.202731194,4357.81,9.35,-4.0,668.0,664.0,664.0,6.46,6.53,6.66,42.93,42.51,42.72,43.57,268,3.8
55,114,339,4328.83,4342.56,4415.6,9.223527059,4362.33,9.3,-4.0,667.0,664.0,665.0,6.49,6.54,6.64,43.24,42.91,43.04,43.77,258,2.2
56,115,336,4294.98,4295.9,4395.6,9.145244612,4328.83,8.93,-4.3,669.0,665.0,666.0,6.42,6.46,6.6,43.35,43.01,43.02,44.02,277,3.0
57,117,330,4268.8,4315.28,4381.8,9.101057397,4321.96,8.26,-3.5,667.0,668.0,670.0,6.4,6.46,6.54,44.17,43.63,44.1,44.78,277,4.2
58,119,324,4253.36,4280.28,4294.4,9.016137292,4276.01,7.68,-4.1,673.0,673.0,671.0,6.32,6.36,6.4,44.6,44.37,44.65,44.79,274,4.6
59,122,316,4125.49,4158.58,4226.44,8.799822703,4170.17,7.03,-3.9,673.0,674.0,673.0,6.13,6.17,6.28,44.7,44.22,44.58,45.3,288,5.9
60,123,309,4110.75,4158.0,4219.24,8.772716236,4162.66,6.76,-3.9,675.0,675.0,674.0,6.09,6.16,6.26,45.68,45.11,45.62,46.3,275,5.8
61,124,300,4110.08,4091.18,4145.1,8.686780694,4115.45,6.76,-3.7,676.0,674.0,674.0,6.08,6.07,6.15,46.51,46.45,46.24,46.85,283,3.1
62,125,298,4006.98,4003.56,4064.92,8.500604594,4025.15,6.78,-4.1,678.0,674.0,673.0,5.91,5.94,6.04,45.79,45.59,45.55,46.25,277,4.9
63,126,290,3881.25,3933.37,4023.78,8.305984672000001,3946.13,6.57,-3.7,675.0,677.0,674.0,5.75,5.81,5.97,46.17,45.41,46.02,47.08,271,3.9
64,127,287,3939.18,3968.12,3989.25,8.369689493,3965.52,6.5,-3.7,678.0,676.0,675.0,5.81,5.87,5.91,46.89,46.58,46.92,47.17,258,5.6
65,131,274,3822.77,3856.72,3881.25,8.129785602,3853.58,5.81,-3.5,679.0,679.0,675.0,5.63,5.68,5.75,47.84,47.46,47.88,48.19,281,5.0
66,133,267,3770.16,3780.8,3838.59,8.014506561000001,3796.52,5.56,-3.8,683.0,680.0,677.0,5.52,5.56,5.67,48.41,48.08,48.21,48.95,279,5.1
67,134,267,3770.16,3780.8,3838.59,8.014506561000001,3796.52,5.56,-3.8,683.0,680.0,677.0,5.52,5.56,5.67,48.41,48.08,48.21,48.95,279,5.1
68,136,254,3697.83,3693.76,3709.96,7.823631161000001,3700.52,5.78,-3.3,681.0,679.0,677.0,5.43,5.44,5.48,49.57,49.53,49.48,49.69,266,4.4
69,141,236,3469.64,3473.1,3585.12,7.408896095,3509.29,5.29,-3.3,683.0,681.0,679.0,5.08,5.1,5.28,50.68,50.11,50.16,51.77,267,3.8
70,145,203,3262.68,3255.18,3303.72,6.968055445,3273.86,4.83,-3.4,684.0,681.0,684.0,4.77,4.78,4.83,55.05,54.86,54.74,55.55,281,5.0
71,147,195,3162.29,3178.12,3223.76,6.769756623999999,3188.06,4.56,-3.2,683.0,682.0,683.0,4.63,4.66,4.72,55.86,55.41,55.69,56.49,278,3.3
72,149,180,3078.0,3078.0,3098.52,6.569853306000001,3084.84,4.53,-3.2,684.0,684.0,684.0,4.5,4.5,4.53,58.56,58.43,58.43,58.82,274,3.7
73,150,177,3027.7,3016.83,3075.82,6.47683247,3040.12,4.45,-3.2,685.0,681.0,682.0,4.42,4.43,4.51,58.71,58.47,58.26,59.4,280,2.8
74,156,133,2600.64,2620.52,2655.68,5.563532672000001,2625.61,2.7,-3.4,688.0,686.0,688.0,3.78,3.82,3.86,67.89,67.25,67.76,68.67,277,3.6
75,157,126,2532.3,2542.41,2580.0,5.403954543999999,2551.57,2.31,-3.4,690.0,689.0,688.0,3.67,3.69,3.75,69.74,69.21,69.49,70.52,259,4.7
76,158,124,2439.45,2446.29,2556.7,5.20086023,2480.81,1.85,-3.4,695.0,693.0,691.0,3.51,3.53,3.7,69.01,67.86,68.05,71.12,250,3.8
77,160,100,2293.5,2279.97,2310.38,4.828878312,2294.62,1.47,-3.4,695.0,693.0,698.0,3.3,3.29,3.31,79.25,79.21,78.75,79.8,275,3.8
78,164,20,1861.48,1925.15,2009.7,3.943035918,1932.11,1.91,-3.4,692.0,695.0,693.0,2.69,2.77,2.9,333.15,320.97,331.95,346.53,263,2.7
79,166,16,1741.32,1748.23,1773.3,3.581687917,1754.28,1.56,-3.4,691.0,691.0,690.0,2.52,2.53,2.57,378.57,375.77,377.26,382.67,243,2.5
80,169,14,1577.76,1570.84,1568.57,3.186497178,1572.39,0.74,-3.5,692.0,692.0,691.0,2.28,2.27,2.27,388.89,390.22,388.51,387.95,264,3.3
81,170,12,1511.1,1473.96,1492.56,2.9818979189999997,1492.54,0.37,-3.5,690.0,692.0,691.0,2.19,2.13,2.16,431.22,436.58,425.85,431.22,282,2.4
82,171,11,1302.21,1290.3,1397.84,2.5704089359999998,1330.12,-0.43,-3.6,689.0,690.0,692.0,1.89,1.87,2.02,420.39,411.56,407.8,441.79,279,3.1
83,172,9,1243.47,1236.6,1226.42,2.373424966,1235.5,-1.02,-3.8,687.0,687.0,689.0,1.81,1.8,1.78,478.22,481.31,478.65,474.71,285,2.8
84,173,8,1171.3,1186.8,1197.16,2.239783042,1185.09,-1.56,-3.9,689.0,690.0,692.0,1.7,1.72,1.73,517.01,510.99,517.75,522.27,271,2.9
85,174,7,1107.68,1083.88,1077.02,2.049708452,1089.53,-2.31,-4.0,688.0,686.0,686.0,1.61,1.58,1.57,544.62,553.69,541.79,538.37,266,2.0
86,175,6,870.66,923.26,1024.5,1.6036764609999998,939.47,-3.47,-4.0,691.0,689.0,683.0,1.26,1.34,1.5,550.05,509.76,540.56,599.83,266,2.4
87,176,3,213.28,855.6,860.58,0.625154066,643.15,-4.77,-4.1,688.0,690.0,683.0,0.31,1.24,1.26,756.45,250.85,1006.33,1012.18,266,2.9
88,178,1,133.6,133.0,186.2,0.146529193,150.93,-6.41,-4.4,668.0,665.0,665.0,0.2,0.2,0.28,535.52,474.03,471.9,660.66,262,2.1
89,190,1,0.0,0.0,0.0,0.37999305299999997,0.0,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1
90,199,15,364.5,174.98,769.53,0.564661106,436.34,-6.1,-4.6,486.0,673.0,681.0,0.75,0.26,1.13,103.1,86.13,41.35,181.84,275,4.5
91,202,27,811.84,254.19,946.68,1.268156273,670.9,-5.46,-4.4,688.0,687.0,686.0,1.18,0.37,1.38,87.88,106.34,33.3,124.01,265,3.9
92,204,57,1268.54,333.6,1283.9,2.0609967940000002,962.01,-4.52,-3.9,697.0,695.0,694.0,1.82,0.48,1.85,59.5,78.46,20.63,79.41,279,5.0
93,205,57,1312.74,413.0,1348.3,2.195669396,1024.68,-3.83,-3.9,702.0,700.0,695.0,1.87,0.59,1.94,63.23,81.0,25.48,83.2,273,4.8
94,206,60,1061.82,427.18,1074.15,1.7688502430000002,854.38,-3.45,-3.7,694.0,689.0,693.0,1.53,0.62,1.55,50.02,62.16,25.01,62.89,274,4.2
95,208,62,1157.02,611.6,1004.85,1.97850552,924.49,-2.95,-3.5,697.0,695.0,693.0,1.66,0.88,1.45,52.29,65.44,34.59,56.83,281,5.1
96,214,75,781.96,841.2,961.86,1.483913814,861.67,-3.02,-2.9,692.0,701.0,697.0,1.13,1.2,1.38,40.3,36.57,39.34,44.98,280,4.3
97,215,81,913.07,936.66,1009.44,1.781251607,953.06,-2.85,-2.9,697.0,699.0,701.0,1.31,1.34,1.44,41.25,39.52,40.54,43.69,266,5.4
98,216,81,932.64,943.36,995.28,1.828329805,957.09,-2.48,-2.8,696.0,704.0,696.0,1.34,1.34,1.43,41.37,40.31,40.78,43.02,270,5.7
99,218,97,1047.0,1057.0,1132.38,2.039709824,1078.79,-2.21,-2.6,698.0,700.0,699.0,1.5,1.51,1.62,38.9,37.76,38.12,40.83,280,5.0
100,219,100,1094.29,1017.62,1092.72,2.219470904,1068.21,-2.02,-2.6,697.0,697.0,696.0,1.57,1.46,1.57,37.34,38.25,35.57,38.2,281,7.4
101,222,111,1035.55,1082.64,1081.73,2.042072444,1066.64,-1.77,-2.4,695.0,694.0,689.0,1.49,1.56,1.57,33.56,32.58,34.07,34.04,277,5.2
102,223,118,1162.0,1141.8,1133.24,2.198234446,1145.68,-1.62,-2.4,700.0,692.0,691.0,1.66,1.65,1.64,33.89,34.38,33.78,33.52,276,2.9
103,224,121,1105.6,1127.96,1121.44,2.148645083,1118.33,-1.52,-2.4,691.0,692.0,688.0,1.6,1.63,1.63,32.25,31.89,32.53,32.34,277,4.4
104,226,124,1086.44,1093.36,1106.07,2.11960019,1095.29,-1.29,-2.4,692.0,692.0,687.0,1.57,1.58,1.61,30.8,30.55,30.75,31.1,280,4.6
105,227,125,1112.51,1116.18,1153.97,2.131764344,1127.55,-1.27,-2.4,691.0,689.0,691.0,1.61,1.62,1.67,31.45,31.03,31.13,32.19,285,2.4
106,228,120,1032.0,1004.48,1022.14,1.9626515530000002,1019.54,-1.21,-2.4,688.0,688.0,686.0,1.5,1.46,1.49,29.62,29.98,29.18,29.69,271,3.3
107,229,120,983.84,979.55,996.15,1.8636168819999999,986.51,-1.16,-2.4,688.0,685.0,687.0,1.43,1.43,1.45,28.65,28.57,28.45,28.93,280,2.8
108,231,123,964.44,965.85,1004.92,1.834492721,978.4,-1.1,-2.3,684.0,685.0,679.0,1.41,1.41,1.48,27.72,27.32,27.36,28.47,281,2.5
109,232,128,990.72,1006.95,1039.68,1.914724975,1012.45,-1.04,-2.3,688.0,685.0,684.0,1.44,1.47,1.52,27.56,26.97,27.41,28.3,272,2.4
110,233,133,1096.0,1039.68,1101.24,2.09345169,1078.97,-0.96,-2.2,685.0,684.0,684.0,1.6,1.52,1.61,28.26,28.7,27.23,28.84,279,3.7
111,234,133,1085.46,1083.88,1075.98,2.103890489,1081.77,-0.75,-2.1,687.0,686.0,681.0,1.58,1.58,1.58,28.31,28.4,28.36,28.16,274,4.0
112,236,133,1009.89,1018.24,1041.93,1.942338044,1023.35,-0.83,-2.1,687.0,688.0,681.0,1.47,1.48,1.53,26.79,26.43,26.65,27.27,276,2.7
113,238,133,978.12,983.52,1019.16,1.8398475019999998,993.6,-0.87,-2.0,684.0,683.0,684.0,1.43,1.44,1.49,26.01,25.61,25.75,26.68,299,2.4
114,239,135,1016.76,1026.0,1027.5,1.963589185,1023.42,-0.87,-2.1,687.0,684.0,685.0,1.48,1.5,1.5,26.4,26.22,26.46,26.5,274,3.8
115,240,138,1027.5,1044.24,1070.16,1.9595266169999999,1047.3,-0.81,-2.0,685.0,687.0,686.0,1.5,1.52,1.56,26.42,25.92,26.34,27.0,293,3.0
116,245,155,1321.72,1272.8,1272.24,2.580647791,1288.92,0.22,-1.8,692.0,688.0,684.0,1.91,1.85,1.86,28.85,29.58,28.48,28.47,276,2.5
117,247,154,1166.2,1195.38,1210.68,2.342432564,1190.75,0.47,-1.9,686.0,687.0,684.0,1.7,1.74,1.77,26.8,26.25,26.9,27.25,276,3.6
118,248,154,1178.2,1195.25,1179.86,2.352521395,1184.44,0.51,-2.0,685.0,683.0,682.0,1.72,1.75,1.73,26.65,26.51,26.9,26.55,276,3.6
119,249,158,1207.36,1238.4,1219.3,2.43542457,1221.69,0.66,-2.0,686.0,688.0,685.0,1.76,1.8,1.78,26.78,26.47,27.15,26.73,274,3.7
120,253,159,1224.64,1229.73,1262.24,2.46100996,1238.87,0.93,-1.9,688.0,687.0,686.0,1.78,1.79,1.84,26.96,26.65,26.76,27.47,279,3.0
121,254,159,1197.0,1195.25,1262.24,2.4356440580000003,1218.16,0.87,-1.9,684.0,683.0,686.0,1.75,1.75,1.84,26.52,26.06,26.02,27.48,286,4.3
122,257,177,1382.88,1342.6,1356.3,2.7875192689999997,1360.59,1.26,-1.8,688.0,685.0,685.0,2.01,1.96,1.98,26.57,27.0,26.22,26.48,269,3.4
123,258,177,1342.6,1330.84,1388.52,2.7724928380000002,1353.99,1.32,-1.8,685.0,686.0,684.0,1.96,1.94,2.03,26.43,26.21,25.98,27.11,268,4.3
124,259,175,1356.3,1367.13,1356.3,2.74614762,1359.91,1.49,-1.7,685.0,687.0,685.0,1.98,1.99,1.98,26.84,26.77,26.98,26.77,278,2.3
125,261,161,1135.44,1174.76,1167.93,2.286346109,1159.38,1.49,-1.7,684.0,683.0,683.0,1.66,1.72,1.71,24.87,24.36,25.2,25.05,288,2.7
126,262,156,1113.29,1106.46,1108.4,2.217032043,1109.38,1.18,-1.7,683.0,683.0,680.0,1.63,1.62,1.63,24.59,24.67,24.52,24.56,278,1.9
127,267,164,1101.24,1106.46,1145.76,2.218041134,1117.82,1.12,-1.7,684.0,683.0,682.0,1.61,1.62,1.68,23.57,23.22,23.33,24.16,279,3.6
128,269,165,1138.94,1149.12,1174.76,2.296775906,1154.27,1.12,-1.7,682.0,684.0,683.0,1.67,1.68,1.72,24.19,23.87,24.08,24.62,280,3.7
129,270,166,1142.28,1161.1,1171.32,2.2970755240000003,1158.23,1.18,-1.7,684.0,683.0,681.0,1.67,1.7,1.72,24.12,23.79,24.18,24.4,281,3.3
130,273,160,1130.25,1126.95,1169.64,2.280330009,1142.28,1.41,-1.4,685.0,683.0,684.0,1.65,1.65,1.71,24.66,24.4,24.33,25.25,266,2.7
131,274,162,1125.3,1126.95,1184.94,2.308676116,1145.73,1.39,-1.5,682.0,683.0,681.0,1.65,1.65,1.74,24.43,24.0,24.03,25.27,269,4.3
132,275,166,1164.5,1159.4,1229.4,2.358522803,1184.43,1.39,-1.5,685.0,682.0,683.0,1.7,1.7,1.8,24.65,24.24,24.13,25.59,273,3.1
133,280,179,1401.48,1380.87,1402.2,2.842669293,1394.85,1.83,-1.2,687.0,687.0,684.0,2.04,2.01,2.05,26.88,27.01,26.61,27.02,277,3.6
134,281,175,1361.16,1397.4,1415.88,2.814183724,1391.48,2.06,-1.1,684.0,685.0,684.0,1.99,2.04,2.07,27.41,26.81,27.52,27.89,264,3.4
135,283,196,1900.25,1703.76,1668.96,3.7534367410000002,1757.66,2.45,-1.1,691.0,687.0,684.0,2.75,2.48,2.44,30.87,33.37,29.92,29.31,267,2.7
136,285,218,1566.3,1602.44,1708.56,3.343475255,1625.77,3.47,-0.9,681.0,679.0,678.0,2.3,2.36,2.52,25.58,24.64,25.21,26.88,283,3.6
137,286,238,1643.62,1652.86,1791.03,3.4991008089999998,1695.84,3.62,-0.9,682.0,683.0,681.0,2.41,2.42,2.63,24.43,23.67,23.81,25.8,273,2.8
138,287,249,2027.6,1926.06,2066.46,4.2380510430000005,2006.71,3.93,-0.7,685.0,683.0,682.0,2.96,2.82,3.03,27.6,27.88,26.49,28.42,276,3.7
139,288,233,1780.02,1768.0,1827.9,3.755238119,1791.97,4.26,-0.8,682.0,680.0,677.0,2.61,2.6,2.7,26.31,26.13,25.95,26.83,275,2.4
140,290,193,1271.97,1211.83,1403.46,2.684298894,1295.75,4.29,-0.8,673.0,677.0,678.0,1.89,1.79,2.07,22.96,22.54,21.47,24.87,284,2.6
141,293,167,1139.04,1152.6,1174.5,2.327772399,1155.38,3.06,-0.7,678.0,678.0,675.0,1.68,1.7,1.74,23.76,23.43,23.71,24.16,283,2.6
142,294,167,1135.6,1101.6,1154.25,2.28500095,1130.48,2.74,-0.7,680.0,680.0,675.0,1.67,1.62,1.71,23.28,23.38,22.68,23.77,283,2.6
143,295,159,1052.45,1079.61,1078.4,2.139682224,1070.15,2.35,-0.9,679.0,679.0,674.0,1.55,1.59,1.6,23.18,22.79,23.38,23.35,272,3.0
144,296,152,1047.2,1040.4,1059.75,2.084514869,1049.12,2.04,-0.8,680.0,680.0,675.0,1.54,1.53,1.57,23.79,23.75,23.59,24.03,279,3.1
145,297,151,1016.18,1055.55,1035.81,2.040797197,1035.85,1.93,-0.7,682.0,681.0,677.0,1.49,1.55,1.53,23.66,23.21,24.11,23.65,273,2.3
146,299,162,1074.4,1094.8,1118.7,2.15940374,1095.97,1.8,-0.8,680.0,680.0,678.0,1.58,1.61,1.65,23.34,22.88,23.31,23.82,275,2.6
147,302,164,1374.84,1266.66,1235.78,2.678284633,1292.43,2.33,-0.4,684.0,681.0,679.0,2.01,1.86,1.82,27.14,28.87,26.6,25.95,275,2.9
148,303,171,1193.5,1174.67,1233.96,2.4014445159999998,1200.71,2.41,-0.3,682.0,679.0,678.0,1.75,1.73,1.82,24.17,24.03,23.65,24.84,280,2.2
149,306,199,1756.95,1582.35,1432.2,3.379270563,1590.5,2.58,-0.1,689.0,685.0,682.0,2.55,2.31,2.1,27.5,30.38,27.36,24.76,281,2.8
150,309,457,4829.64,4968.36,5170.59,10.34433944,4989.53,9.58,0.7,668.0,666.0,657.0,7.23,7.46,7.87,36.65,35.47,36.49,37.98,274,2.9
151,311,419,4888.94,4853.55,4850.88,10.31931677,4864.46,13.1,0.8,658.0,655.0,652.0,7.43,7.41,7.44,38.48,38.68,38.4,38.37,278,2.9
152,314,348,4316.24,4315.68,4355.0,9.272403463,4328.97,15.41,1.3,652.0,648.0,650.0,6.62,6.66,6.7,40.89,40.77,40.76,41.13,267,1.7
153,316,238,4205.5,4205.32,4095.84,9.031615327,4168.89,15.64,1.1,650.0,644.0,644.0,6.47,6.53,6.36,57.53,58.03,58.03,56.52,255,1.6
154,317,283,3919.96,3385.04,2916.0,7.797603572000001,3407.0,15.68,1.1,649.0,646.0,648.0,6.04,5.24,4.5,39.53,45.49,39.28,33.84,272,2.7
155,318,255,3494.72,4049.22,4037.04,8.223106862,3860.33,15.43,1.1,652.0,651.0,648.0,5.36,6.22,6.23,49.76,45.04,52.19,52.03,258,2.1
156,319,230,2809.95,3074.5,1903.84,5.952094067000001,2596.1,14.76,0.9,655.0,650.0,652.0,4.29,4.73,2.92,37.19,40.25,44.04,27.27,272,2.5
